annuel	taille	region	Agriculture, forêt et pêche	BTP	Commerce	Enseignement	Hébérgement et restauration	Industries	Santé humaine et action sociale	Services	Transport
2022	10-49 salariés	Grand Casablanca-Settat	133	1727	3289	867	614	1744	341	2888	809
2022	10-49 salariés	Guelmim-Oued Noun	20	37	12	29	8	32	6	123	8
2022	10-49 salariés	Laayoune-Sakia El Hamra	29	177	73	42	14	42	18	149	38
2022	10-49 salariés	Oriental	112	308	287	140	146	202	87	367	78
2022	10-49 salariés	Tanger-Tetouan-Al Hoceima	118	463	532	203	261	500	102	685	348
2022	50-199 salariés	 Marrakech-Safi	31	108	71	62	95	71	20	113	16
2022	50-199 salariés	 Rabat-Salé-Kénitra	75	195	130	102	47	100	39	258	16
2022	50-199 salariés	 Souss-Massa	148	54	77	47	35	45	16	89	27
2022	50-199 salariés	Béni Mellal-Khénifra	8	26	20	15	1	12	3	19	4
2022	50-199 salariés	Drâa-Tafilalet	6	39	5	2	8	3	0	22	3
2022	50-199 salariés	Eddakhla-Oued Eddahab	4	7	15	2	6	11	0	1	7
2022	50-199 salariés	Fès-Meknès	32	104	64	65	21	121	29	72	11
2022	50-199 salariés	Grand Casablanca-Settat	50	363	549	259	82	603	63	635	120
2022	50-199 salariés	Guelmim-Oued Noun	1	5	6	2	1	2	0	10	0
2022	50-199 salariés	Laayoune-Sakia El Hamra	6	31	18	2	2	17	0	27	8
2022	50-199 salariés	Oriental	19	42	22	24	1	39	19	76	6
2022	50-199 salariés	Tanger-Tetouan-Al Hoceima	44	73	79	55	33	282	14	146	45
2022	200-499 salariés	 Marrakech-Safi	10	25	6	1	17	12	2	11	6
2022	200-499 salariés	 Rabat-Salé-Kénitra	18	48	33	4	8	41	2	87	9
2022	200-499 salariés	 Souss-Massa	63	10	21	1	10	8	0	19	2
2022	200-499 salariés	Béni Mellal-Khénifra	1	3	2	0	0	1	0	3	1
2022	200-499 salariés	Drâa-Tafilalet	10	8	0	0	0	0	0	1	2
2022	200-499 salariés	Eddakhla-Oued Eddahab	5	0	3	0	0	1	0	1	0
2022	200-499 salariés	Fès-Meknès	11	8	12	0	2	37	1	25	4
2022	200-499 salariés	Grand Casablanca-Settat	14	76	106	12	10	149	14	167	23
2022	200-499 salariés	Guelmim-Oued Noun	0	0	0	0	1	3	0	0	0
2022	200-499 salariés	Laayoune-Sakia El Hamra	2	9	5	2	0	8	1	2	1
2022	200-499 salariés	Oriental	1	8	7	1	3	13	1	15	3
2022	200-499 salariés	Tanger-Tetouan-Al Hoceima	7	13	16	2	3	127	1	25	12
2022	500 salariés et plus	 Marrakech-Safi	8	6	4	1	2	9	0	12	2
2022	500 salariés et plus	 Rabat-Salé-Kénitra	19	16	14	1	1	22	1	56	3
2022	500 salariés et plus	 Souss-Massa	52	5	8	0	2	11	0	10	1
2022	500 salariés et plus	Béni Mellal-Khénifra	2	2	0	0	0	0	0	0	0
2022	500 salariés et plus	Drâa-Tafilalet	0	5	0	0	0	0	0	1	0
2022	500 salariés et plus	Eddakhla-Oued Eddahab	5	1	1	0	0	2	0	1	0
2022	500 salariés et plus	Fès-Meknès	9	9	3	1	3	16	0	12	0
2022	500 salariés et plus	Grand Casablanca-Settat	10	44	40	3	10	69	5	154	10
2022	500 salariés et plus	Guelmim-Oued Noun	3	0	0	0	0	2	0	0	0
2022	500 salariés et plus	Laayoune-Sakia El Hamra	1	1	2	0	0	4	0	3	0
2022	500 salariés et plus	Oriental	1	4	3	0	0	3	0	1	0
2022	500 salariés et plus	Tanger-Tetouan-Al Hoceima	11	4	18	0	1	75	0	7	4
2023	1-9 salariés	 Marrakech-Safi	1926	2735	3687	364	2203	757	732	4159	733
2023	1-9 salariés	 Rabat-Salé-Kénitra	1390	3839	5640	557	2338	1136	1069	5805	1124
2023	1-9 salariés	 Souss-Massa	2347	1734	3311	396	991	865	575	3252	1315
2023	1-9 salariés	Béni Mellal-Khénifra	387	1344	1552	223	660	380	260	944	175
2023	1-9 salariés	Drâa-Tafilalet	479	1495	1021	100	500	190	137	799	566
2023	1-9 salariés	Eddakhla-Oued Eddahab	3272	141	240	13	53	61	12	220	66
2023	1-9 salariés	Fès-Meknès	435	3045	3733	375	1822	953	659	2435	625
2023	1-9 salariés	Grand Casablanca-Settat	2142	7836	16140	896	4493	4244	2204	12835	3139
2023	1-9 salariés	Guelmim-Oued Noun	719	253	250	25	76	58	30	283	71
2023	1-9 salariés	Laayoune-Sakia El Hamra	2893	537	495	50	68	113	30	459	205
2023	1-9 salariés	Oriental	1325	1454	2336	241	935	512	396	1743	685
2023	1-9 salariés	Tanger-Tetouan-Al Hoceima	2394	2188	4057	417	1463	1181	580	3208	1931
2023	10-49 salariés	 Marrakech-Safi	263	626	546	225	555	203	112	1025	155
2023	10-49 salariés	 Rabat-Salé-Kénitra	266	806	768	421	406	378	196	1353	138
2023	10-49 salariés	 Souss-Massa	1071	393	524	187	225	216	90	592	232
2023	10-49 salariés	Béni Mellal-Khénifra	53	234	116	105	33	58	41	301	20
2023	10-49 salariés	Drâa-Tafilalet	42	323	98	45	77	40	21	248	37
2023	10-49 salariés	Eddakhla-Oued Eddahab	42	47	57	14	12	43	2	49	11
2023	10-49 salariés	Fès-Meknès	133	614	474	341	264	325	190	550	78
2023	10-49 salariés	Grand Casablanca-Settat	218	1741	3300	908	665	1782	357	3125	804
2023	10-49 salariés	Guelmim-Oued Noun	56	37	13	22	9	24	10	140	8
2023	10-49 salariés	Laayoune-Sakia El Hamra	41	190	78	37	15	45	12	187	44
2023	10-49 salariés	Oriental	269	311	287	142	187	189	85	436	82
2023	10-49 salariés	Tanger-Tetouan-Al Hoceima	327	504	563	205	309	524	108	761	384
2023	50-199 salariés	 Marrakech-Safi	64	113	72	67	124	75	20	135	19
2023	50-199 salariés	 Rabat-Salé-Kénitra	78	183	127	102	51	96	39	266	19
2023	50-199 salariés	 Souss-Massa	162	60	75	53	35	42	15	97	29
2023	50-199 salariés	Béni Mellal-Khénifra	6	35	14	15	1	12	8	38	3
2023	50-199 salariés	Drâa-Tafilalet	10	41	6	3	11	2	0	21	3
2023	50-199 salariés	Eddakhla-Oued Eddahab	7	6	13	2	9	14	0	6	7
2023	50-199 salariés	Fès-Meknès	32	99	69	65	18	123	37	78	13
2023	50-199 salariés	Grand Casablanca-Settat	60	369	566	264	82	590	68	688	127
2023	50-199 salariés	Guelmim-Oued Noun	4	5	7	3	2	1	0	5	0
2023	50-199 salariés	Laayoune-Sakia El Hamra	10	37	21	4	2	15	1	28	7
2023	50-199 salariés	Oriental	14	50	25	22	4	48	15	72	4
2023	50-199 salariés	Tanger-Tetouan-Al Hoceima	48	81	79	60	35	287	15	136	50
2023	200-499 salariés	 Marrakech-Safi	12	29	8	1	16	11	2	18	4
2023	200-499 salariés	 Rabat-Salé-Kénitra	20	52	30	3	6	47	3	85	9
2023	200-499 salariés	 Souss-Massa	54	12	21	2	12	7	1	27	1
2023	200-499 salariés	Béni Mellal-Khénifra	2	2	2	0	0	1	0	2	1
2023	200-499 salariés	Drâa-Tafilalet	9	8	0	0	0	0	0	3	2
2023	200-499 salariés	Eddakhla-Oued Eddahab	3	0	3	0	0	1	0	1	0
2023	200-499 salariés	Fès-Meknès	12	15	18	1	3	45	1	26	3
2023	200-499 salariés	Grand Casablanca-Settat	11	70	109	13	12	144	19	175	25
2023	200-499 salariés	Guelmim-Oued Noun	0	0	0	0	0	2	0	0	0
2023	200-499 salariés	Laayoune-Sakia El Hamra	0	10	6	1	0	11	0	2	1
2023	200-499 salariés	Oriental	1	9	7	1	3	10	1	12	3
2023	200-499 salariés	Tanger-Tetouan-Al Hoceima	7	13	17	1	5	140	1	28	14
2023	500 salariés et plus	 Marrakech-Safi	7	6	4	1	2	10	1	11	4
2023	500 salariés et plus	 Rabat-Salé-Kénitra	20	15	17	2	2	25	1	62	4
2023	500 salariés et plus	 Souss-Massa	60	4	8	1	1	10	0	9	1
2023	500 salariés et plus	Béni Mellal-Khénifra	2	3	0	0	0	0	0	0	0
2023	500 salariés et plus	Drâa-Tafilalet	0	4	0	0	0	0	0	1	0
2023	500 salariés et plus	Eddakhla-Oued Eddahab	6	1	1	0	0	1	0	1	0
2023	500 salariés et plus	Fès-Meknès	9	8	2	1	4	12	0	11	0
2023	500 salariés et plus	Grand Casablanca-Settat	9	44	38	5	9	70	4	153	10
2023	500 salariés et plus	Guelmim-Oued Noun	2	0	0	0	0	3	0	0	0
2023	500 salariés et plus	Laayoune-Sakia El Hamra	1	1	2	0	0	3	0	6	0
2023	500 salariés et plus	Oriental	1	4	2	0	0	4	0	1	0
2023	500 salariés et plus	Tanger-Tetouan-Al Hoceima	9	5	18	0	1	74	0	10	2
